id_no;start;end;today;simserial;subscriberid;deviceid;location;_location_latitude;_location_longitude;_location_altitude;_location_precision;region_name;district_name;ward_name;subward_name;photo_before;photo_during;photo_after;acessibility;no_reasons;yes_no;weather;sediment;vegetation_cover;site;photo_north;photo_east;photo_south;photo_west;additional_observation;_id;_uuid;_submission_time;_validation_status;_index;sample_id;field_sampler_names;field_sampler_names_other;date_collected;tester_name;tester_name_other;date_analysis;weigh_sieves_top;mass_4_75_sieve_top;mass_2_36_sieve_top;mass_1_18_sieve_top;mass_0_6_sieve_top;mass_0_425_sieve_top;mass_0_3_sieve_top;mass_0_15_sieve_top;mass_0_075_sieve_top;mass_bottom_pan_top;top_sample_note;mass_beginning_top;mass_4_75_top;mass_4_75_top_soil_retained;mass_4_75_top_soil_retained_note;mass_2_36_top;mass_2_36_top_soil_retained;mass_2_36_top_soil_retained_note;mass_1_18_top;mass_1_18_top_soil_retained;mass_1_18_top_soil_retained_note;mass_0_6_top;mass_0_6_top_soil_retained;mass_0_6_top_soil_retained_note;mass_0_425_top;mass_0_425_top_soil_retained;mass_0_425_top_soil_retained_note;mass_0_3_top;mass_0_3_top_soil_retained;mass_0_3_top_soil_retained_note;mass_0_15_top;mass_0_15_top_soil_retained;mass_0_15_top_soil_retained_note;mass_0_075_top;mass_0_075_top_soil_retained;mass_0_075_top_soil_retained_note;mass_0_top;mass_0_top_soil_retained;mass_0_top_soil_retained_note;mass_soil_top;mass_soil_top_note;mass_loss_top_sample;percentage_mass_loss_top_sample;mass_loss_top_sample_note;weigh_sieves_bottom;mass_4_75_sieve_bottom;mass_2_36_sieve_bottom;mass_1_18_sieve_bottom;mass_0_6_sieve_bottom;mass_0_425_sieve_bottom;mass_0_3_sieve_bottom;mass_0_15_sieve_bottom;mass_0_075_sieve_bottom;mass_bottom_pan_bottom;bottom_sample_note;mass_beginning_bottom;mass_4_75_bottom;mass_4_75_bottom_soil_retained;mass_4_75_bottom_soil_retained_note;mass_2_36_bottom;mass_2_36_bottom_soil_retained;mass_2_36_bottom_soil_retained_note;mass_1_18_bottom;mass_1_18_bottom_soil_retained;mass_1_18_bottom_soil_retained_note;mass_0_6_bottom;mass_0_6_bottom_soil_retained;mass_0_6_bottom_soil_retained_note;mass_0_425_bottom;mass_0_425_bottom_soil_retained;mass_0_425_bottom_soil_retained_note;mass_0_3_bottom;mass_0_3_bottom_soil_retained;mass_0_3_bottom_soil_retained_note;mass_0_15_bottom;mass_0_15_bottom_soil_retained;mass_0_15_bottom_soil_retained_note;mass_0_075_bottom;mass_0_075_bottom_soil_retained;mass_0_075_bottom_soil_retained_note;mass_0_bottom;mass_0_bottom_soil_retained;mass_0_bottom_soil_retained_note;mass_soil_bottom;mass_soil_bottom_note;mass_loss_bottom_sample;percentage_mass_loss_bottom_sample;mass_loss_bottom_sample_note;_id;_uuid;_submission_time;_validation_status;_index
616;2018-10-11T16:43:13.684+03;2018-10-11T20:24:17.576+03;2018-10-11;8.92550204139952E+018;640021071951801;353614096259289;-6.767876666666666 39.27797666666667 -9.4 1.0;-6.7678766667;39.2779766667;-9.4;1;dar_es_salaam;kinondoni;Msasani;Coco beach;1539265684904.jpg;1539265897025.jpg;1539266016663.jpg;no;It's inside somebody house;yes;dry;loose;low;urban;1539266094995.jpg;1539266120726.jpg;1539266153930.jpg;1539266173850.jpg;The ground was too hard unable to get sampling 15 cm bottom sample;1;b136dd87-e44c-417b-ac8d-eac6908a7d64;2018-10-12T06:25:47;;1;616;Swaumu_Nuru;;2018-10-11;other;Sia and Anna Maholi;2018-10-12;;512;492;490;495;462;462;437;351;372;;503;588;76;;565;73;;575;85;;626;131;;536;74;;481;19;;463;26;;362;11;;373;1;;496;;7;0.013916501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;fb4b896f-e7d8-40a2-b52e-c085920cdd54;2018-11-07T08:11:13;;1
615;2018-10-11T16:16:18.986+03;2018-10-11T16:20:13.026+03;2018-10-11;8.92550441073634E+018;640044173634530;355038090977316;-6.768184681423008 39.25993675366044 -29.0 14.0;-6.7681846814;39.2599367537;-29;14;dar_es_salaam;kinondoni;Mikocheni A;Darajani;;;;no;The point was droped above the house, and 500m north drops to a position of a private gated settlement.;no;;;;urban;1539263938215.jpg;1539263960991.jpg;1539263987186.jpg;1539264004632.jpg;;3;6a8c974c-d9ad-4995-873e-3871801e5d16;2018-10-12T12:48:15;;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
614;2018-10-11T16:46:09.191+03;2018-10-11T17:15:09.524+03;2018-10-11;8925502041378699273f;640021069869927;351665081326444;-6.767733333333332 39.24194833333333 21.3 1.0;-6.7677333333;39.2419483333;21.3;1;dar_es_salaam;kinondoni;Mikocheni;Mikocheni;1539265900753.jpg;1539266423026.jpg;1539267154172.jpg;no;Require special permission and the point inside is at dense vegetation;yes;dry;loose;medium;urban;1539267191777.jpg;1539267221737.jpg;1539267238744.jpg;1539267249697.jpg;Bottom soil highly consolidated;4;800cd301-7348-4043-a6fa-3d9cc410f78a;2018-10-12T12:48:32;;3;614;Deogratius_Salome;;2018-10-11;other;Salehe Hamisi ;2018-10-12;;512;492;490;495;462;462;437;451;372;;510;578;66;;530;38;;531;41;;583;88;;543;81;;531;69;;525;88;;372;-79;;377;5;;397;;113;0.2215686275;;;512;492;490;495;462;462;437;351;372;;513;611;99;;568;76;;592;102;;595;100;;549;87;;523;61;;488;51;;358;7;;372;0;;583;;-70;-0.1364522417;;94;050856b9-b174-448a-9937-6f93c1ea44ef;2018-11-07T08:11:09;;2
435;2018-10-12T10:56:38.336+03;2018-10-12T12:00:11.126+03;2018-10-12;8.92550441085121E+018;640044185121424;358808088495803;-6.888721666666667 39.20284166666667 42.9 2.0;-6.8887216667;39.2028416667;42.9;2;dar_es_salaam;ilala;Kitunda;Kitunda relini;1539331202854.jpg;1539331418079.jpg;1539331674128.jpg;no;Point where inside the military base ;yes;dry;loose;medium;urban;1539332298127.jpg;1539332318507.jpg;1539332329384.jpg;1539332337632.jpg;No;2;80f0be22-3ccb-495e-a8c1-aaeed6e60461;2018-10-12T12:47:37;;4;435;Deogratius_Salome;;2018-10-12;other;Baraka Barton and Ramadhani;2018-10-13;;512;492;490;495;462;462;437;351;372;;507;512;0;;502;10;;540;50;;640;145;;648;186;;576;114;;501;64;;360;9;;374;2;;580;;-73;-0.1439842209;;;512;492;490;495;462;462;437;351;372;;500;512;0;;493;1;;509;19;;808;313;;579;117;;480;18;;454;17;;355;4;;372;0;;489;;11;0.022;;100;1826e0df-4b7e-4649-97f1-4a7bbad2defe;2018-11-07T09:31:08;;7
434;2018-10-12T12:55:24.078+03;2018-10-12T13:12:35.609+03;2018-10-12;8.92550441085121E+018;640044185121424;358808088495803;-6.894756666666666 39.187575 75.6 3.6;-6.8947566667;39.187575;75.6;3.6;dar_es_salaam;ilala;Kitunda;;1539338304145.jpg;1539338368674.jpg;1539339068986.jpg;yes;;no;dry;loose;low;urban;1539339115262.jpg;1539339125210.jpg;1539339140044.jpg;1539339146605.jpg;No;5;f1ed3bad-50df-42da-8649-a1db49f48826;2018-10-12T12:51:51;;5;434;Deogratius_Salome;;2018-10-12;other;Baraka Barton and Ramadhani;2018-10-13;;512;492;490;495;462;462;437;351;372;;500;540;28;;512;20;;545;55;;653;158;;627;165;;545;83;;489;52;;361;10;;374;2;;573;;-73;-0.146;;;512;492;490;495;462;462;437;351;372;;506;533;21;;505;13;;532;42;;862;367;;498;36;;466;4;;448;11;;352;1;;372;0;;495;;11;0.0217391304;;101;1f22ebaf-a441-4a3b-83cf-3c76bc0b4e3f;2018-11-07T09:31:10;;8
632;2018-10-11T16:12:08.739+03;2018-10-12T15:55:14.956+03;2018-10-11;8.92550506039852E+018;640050639852309;353614091318981;-6.750010627603714 39.24174249172211 0.0 0.0;-6.7500106276;39.2417424917;0;0;dar_es_salaam;kinondoni;Mikocheni B;Mikocheni;1539264496059.jpg;1539265221456.jpg;1539265551902.jpg;yes;;no;dry;loose;low;urban;1539265620939.jpg;1539265631176.jpg;1539265642829.jpg;1539265656151.jpg;;6;cb9e5ed7-e1ca-4a6f-9d1a-1ee9fc2e318b;2018-10-12T12:54:55;;6;632;Rebeca_Ramadhani;;2018-10-11;other;Ramadhani and Rebeca;2018-10-12;;512;492;490;495;462;462;437;351;372;;500;621;109;;532;40;;567;77;;614;119;;586;124;;514;52;;475;38;;361;10;;374;2;;571;;-71;-0.142;;;512;492;490;495;462;462;437;351;372;;500;657;145;;542;50;;536;46;;596;101;;489;27;;457;-5;;440;3;;351;0;;372;0;;367;;133;0.266;;97;ea56ece2-dbe6-4658-b921-235b68b83f42;2018-11-07T08:11:15;;4
402;2018-10-12T11:13:12.764+03;2018-10-12T15:48:28.310+03;2018-10-12;8.92550506039852E+018;640050639852309;353614091318981;-6.913624730187479 39.2236590385437 0.0 0.0;-6.9136247302;39.2236590385;0;0;dar_es_salaam;ilala;Kitunda;Mwanagati;1539332125739.jpg;1539332233834.jpg;1539332783896.jpg;yes;;no;dry;loose;low;rural;1539332835194.jpg;1539332845270.jpg;1539332856311.jpg;1539332867097.jpg;;7;a063b024-d07c-4ce1-862b-324453060380;2018-10-12T12:56:48;;7;402;Rebeca_Ramadhani;;2018-10-12;other;Baraka andDeogratias;2018-10-12;;512;492;490;495;462;462;437;351;372;;502;517;5;;500;8;;533;43;;645;150;;631;169;;565;103;;520;83;;363;12;;375;3;;576;;-74;-0.1474103586;;;512;492;490;495;462;462;437;351;372;;505;520;8;;498;6;;518;28;;691;196;;593;131;;526;64;;490;53;;363;12;;374;2;;500;;5;0.0099009901;;106;d50f874f-526a-440a-8463-8e4c98049ccf;2018-11-07T11:22:38;;13
403;2018-10-12T11:59:45.322+03;2018-10-12T15:50:44.591+03;2018-10-12;8925502041042642709f;640021036264270;353147082684707;-6.914781666666666 39.20592166666667 46.8 1.5;-6.9147816667;39.2059216667;46.8;1.5;dar_es_salaam;ilala;Kitunda;Mzinga;1539335105967.jpg;1539335281133.jpg;1539335553191.jpg;yes;;no;dry;loose;low;rural;1539335580118.jpg;1539335590673.jpg;1539335605398.jpg;1539335619142.jpg;;8;3c56970b-c0ef-4511-936c-f314ef321741;2018-10-12T12:57:54;;8;403;Rebeca_Ramadhani;;2018-10-12;Sia_Wilfred;;2018-11-16;;512;492;490;495;462;465;437;351;372;;503;554;42;;508;16;;538;48;;634;139;;605;143;;526;61;;497;60;;359;8;;373;1;;518;;-15;-0.0298210736;;;512;492;490;495;462;462;437;351;372;;500;517;5;;500;8;;530;40;;682;187;;625;163;;538;76;;521;84;;366;15;;372;0;;578;;-78;-0.156;;103;f6838067-58b8-4e76-9875-e1ff8dfdfdde;2018-11-07T11:22:11;;10
535;2018-11-12T11:11:25.379+03;2018-11-12T18:38:20.513+03;2018-11-12;8.92550204115447E+018;640021047447233;358808088495803;-6.84137 39.29387166666667 13.3 2.6;-6.84137;39.2938716667;13.3;2.6;dar_es_salaam;temeke;Kurasini;Bandari number 5;;;;no;Point dropped inside of harbour, no access ;no;;;;urban;;;;;No segment sample taken due to the inconvenience environment ;227;a3f15dea-2247-4236-8c02-f78a82f28f4b;2018-11-12T15:40:32;;9;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
729;2018-11-19T12:04:50.885+03;2018-11-19T12:29:59.059+03;2018-11-19;8925505090396780505f;640050939678050;351665081326444;-6.569233333333333 39.09701666666667 19.2 3.0;-6.5692333333;39.0970166667;19.2;3;dar_es_salaam;bagamoyo;Kerege;Kerege;;;;yes;;no;dry;loose;medium;rural;;;;;;338;c438fa85-1cf5-433b-8a49-e4d86d048902;2018-11-19T16:24:06;;10;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
